id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9
0.305,-0.002,0.296,-0.088,-0.359,-0.299,-0.264,0.057,-0.33
0.306,0.012,0.305,-0.057,-0.343,-0.285,-0.252,0.072,-0.309
0.316,0.03,0.316,-0.012,-0.321,-0.272,-0.237,0.093,-0.293
0.312,0.037,0.327,0.02,-0.311,-0.26,-0.22,0.105,-0.282
0.311,0.049,0.336,0.054,-0.3,-0.247,-0.204,0.11,-0.271
0.315,0.053,0.349,0.081,-0.287,-0.246,-0.193,0.119,-0.266
0.314,0.067,0.357,0.113,-0.271,-0.237,-0.18,0.134,-0.245
0.316,0.078,0.367,0.15,-0.251,-0.223,-0.164,0.151,-0.225
0.322,0.089,0.381,0.18,-0.238,-0.212,-0.151,0.167,-0.217
0.32,0.096,0.388,0.21,-0.221,-0.201,-0.141,0.181,-0.207
0.315,0.107,0.401,0.242,-0.209,-0.194,-0.133,0.185,-0.19
0.315,0.115,0.414,0.273,-0.19,-0.178,-0.109,0.199,-0.173
0.321,0.13,0.421,0.306,-0.173,-0.165,-0.091,0.214,-0.161
0.322,0.138,0.427,0.353,-0.156,-0.155,-0.079,0.231,-0.141
0.32,0.15,0.444,0.391,-0.141,-0.14,-0.064,0.247,-0.122
0.313,0.155,0.449,0.42,-0.127,-0.133,-0.054,0.248,-0.118
0.32,0.17,0.458,0.457,-0.103,-0.12,-0.041,0.263,-0.104
0.324,0.181,0.468,0.494,-0.081,-0.101,-0.024,0.281,-0.08
0.321,0.193,0.482,0.526,-0.066,-0.091,-0.005,0.294,-0.068
0.317,0.201,0.492,0.561,-0.05,-0.086,0.013,0.312,-0.054
0.312,0.206,0.498,0.594,-0.03,-0.078,0.027,0.326,-0.037
0.319,0.217,0.507,0.617,-0.008,-0.069,0.041,0.334,-0.02
0.315,0.224,0.511,0.643,0.008,-0.061,0.053,0.343,-0.009
0.312,0.241,0.518,0.677,0.029,-0.041,0.068,0.358,0.007
0.311,0.245,0.534,0.711,0.042,-0.026,0.079,0.376,0.025
0.311,0.25,0.542,0.741,0.061,-0.015,0.091,0.39,0.045
0.31,0.265,0.549,0.774,0.086,-0.003,0.113,0.395,0.058
0.314,0.272,0.56,0.812,0.105,0.012,0.133,0.412,0.076
0.302,0.274,0.563,0.827,0.117,0.021,0.144,0.422,0.09
0.296,0.288,0.568,0.854,0.143,0.029,0.156,0.435,0.103
0.305,0.293,0.578,0.89,0.172,0.044,0.172,0.455,0.128
0.296,0.295,0.58,0.918,0.181,0.052,0.183,0.457,0.14
0.29,0.309,0.586,0.935,0.203,0.06,0.195,0.465,0.149
0.297,0.313,0.595,0.968,0.231,0.074,0.208,0.483,0.171
0.291,0.316,0.597,0.995,0.243,0.082,0.218,0.496,0.185
0.285,0.329,0.603,1.013,0.264,0.089,0.239,0.509,0.201
0.283,0.333,0.611,1.045,0.292,0.101,0.257,0.518,0.22
0.282,0.339,0.615,1.062,0.307,0.117,0.271,0.528,0.24
0.28,0.351,0.622,1.089,0.327,0.131,0.285,0.541,0.255
0.273,0.352,0.626,1.107,0.352,0.14,0.296,0.555,0.266
0.268,0.353,0.626,1.129,0.374,0.146,0.306,0.566,0.279
0.265,0.363,0.633,1.146,0.389,0.153,0.318,0.57,0.294
0.265,0.371,0.64,1.176,0.414,0.164,0.332,0.581,0.315
0.265,0.376,0.638,1.193,0.441,0.181,0.346,0.598,0.331
0.264,0.378,0.642,1.21,0.457,0.195,0.36,0.612,0.35
0.258,0.385,0.644,1.236,0.478,0.202,0.37,0.615,0.365
0.256,0.394,0.648,1.252,0.506,0.211,0.383,0.625,0.385
0.252,0.395,0.654,1.268,0.522,0.225,0.396,0.639,0.399
0.243,0.393,0.655,1.29,0.539,0.238,0.404,0.65,0.416
0.241,0.398,0.649,1.303,0.564,0.242,0.412,0.651,0.428
0.238,0.403,0.648,1.317,0.589,0.245,0.423,0.657,0.444
0.235,0.407,0.653,1.334,0.607,0.265,0.437,0.672,0.463
0.236,0.405,0.657,1.349,0.631,0.278,0.448,0.687,0.484
0.23,0.41,0.658,1.36,0.652,0.278,0.456,0.685,0.492
0.224,0.417,0.653,1.374,0.671,0.288,0.468,0.693,0.505
0.225,0.415,0.653,1.389,0.694,0.302,0.478,0.708,0.523
0.219,0.412,0.653,1.4,0.715,0.308,0.487,0.717,0.533
0.214,0.421,0.657,1.413,0.737,0.318,0.499,0.719,0.553
0.213,0.423,0.653,1.429,0.76,0.328,0.509,0.73,0.568
0.209,0.422,0.65,1.442,0.771,0.338,0.522,0.741,0.585
0.205,0.427,0.651,1.444,0.797,0.353,0.532,0.741,0.599
0.202,0.428,0.651,1.455,0.821,0.358,0.531,0.747,0.614
0.2,0.427,0.646,1.468,0.835,0.365,0.537,0.759,0.627
0.198,0.427,0.644,1.473,0.861,0.378,0.549,0.762,0.648
0.197,0.432,0.645,1.485,0.878,0.387,0.557,0.767,0.661
0.194,0.433,0.647,1.496,0.897,0.399,0.564,0.779,0.678
0.188,0.429,0.638,1.499,0.911,0.407,0.575,0.787,0.691
0.184,0.431,0.631,1.507,0.933,0.415,0.581,0.786,0.706
0.183,0.434,0.634,1.512,0.957,0.426,0.583,0.794,0.72
